Qwen API key configured: yes (config: /data/yixinchen/KG_Course/chip2022_medical_causal_kg/.env)
Qwen API key configured: yes
total_docs=1000 already_done=5 output=data/processed/qwen_unlabel_incremental.jsonl
Doc_unlabel_0123 items=17 error=False elapsed=57.78s
Doc_unlabel_0124 items=15 error=False elapsed=74.067s
Doc_unlabel_0125 items=10 error=False elapsed=62.544s
Doc_unlabel_0126 items=5 error=False elapsed=61.369s
Doc_unlabel_0127 items=8 error=False elapsed=56.774s
Doc_unlabel_0128 items=9 error=False elapsed=51.142s
Doc_unlabel_0129 items=0 error=False elapsed=590.629s
Doc_unlabel_0130 items=6 error=False elapsed=46.446s
Doc_unlabel_0131 items=7 error=False elapsed=44.619s
Doc_unlabel_0132 items=6 error=False elapsed=58.648s
Doc_unlabel_0133 items=2 error=False elapsed=64.247s
Doc_unlabel_0134 items=8 error=False elapsed=61.855s
Doc_unlabel_0135 items=5 error=False elapsed=56.494s
Doc_unlabel_0136 items=12 error=False elapsed=59.385s
Doc_unlabel_0137 items=1 error=False elapsed=49.299s
Doc_unlabel_0138 items=6 error=False elapsed=76.695s
Doc_unlabel_0139 items=12 error=False elapsed=61.691s
Doc_unlabel_0140 items=2 error=False elapsed=53.383s
Doc_unlabel_0141 items=23 error=False elapsed=60.52s
Doc_unlabel_0142 items=15 error=False elapsed=71.144s
Doc_unlabel_0143 items=10 error=False elapsed=63.992s
Doc_unlabel_0144 items=13 error=False elapsed=70.422s
Doc_unlabel_0145 items=7 error=False elapsed=57.799s
Doc_unlabel_0146 items=8 error=False elapsed=47.445s
Doc_unlabel_0147 items=12 error=False elapsed=58.377s
Doc_unlabel_0148 items=11 error=False elapsed=61.541s
Doc_unlabel_0149 items=4 error=False elapsed=52.708s
Doc_unlabel_0150 items=7 error=False elapsed=67.211s
Doc_unlabel_0151 items=13 error=False elapsed=53.775s
Doc_unlabel_0152 items=8 error=False elapsed=63.071s
Doc_unlabel_0153 items=4 error=False elapsed=47.948s
Doc_unlabel_0154 items=17 error=False elapsed=51.341s
Doc_unlabel_0155 items=16 error=False elapsed=68.481s
Doc_unlabel_0156 items=12 error=False elapsed=48.0s
Doc_unlabel_0157 items=8 error=False elapsed=60.955s
Doc_unlabel_0158 items=9 error=False elapsed=66.286s
Doc_unlabel_0159 items=4 error=False elapsed=60.997s
Doc_unlabel_0160 items=6 error=False elapsed=53.237s
Doc_unlabel_0161 items=4 error=False elapsed=98.437s
Doc_unlabel_0162 items=5 error=False elapsed=59.908s
Doc_unlabel_0163 items=12 error=False elapsed=59.578s
Doc_unlabel_0164 items=7 error=False elapsed=58.834s
Doc_unlabel_0165 items=8 error=False elapsed=54.622s
Doc_unlabel_0166 items=18 error=False elapsed=70.949s
Doc_unlabel_0167 items=3 error=False elapsed=53.916s
Doc_unlabel_0168 items=10 error=False elapsed=63.959s
Doc_unlabel_0169 items=9 error=False elapsed=59.232s
Doc_unlabel_0170 items=6 error=False elapsed=62.496s
Doc_unlabel_0171 items=17 error=False elapsed=71.892s
Doc_unlabel_0172 items=8 error=False elapsed=51.615s
Doc_unlabel_0173 items=25 error=False elapsed=93.785s
Doc_unlabel_0174 items=12 error=False elapsed=61.739s
Doc_unlabel_0175 items=11 error=False elapsed=64.637s
Doc_unlabel_0176 items=18 error=False elapsed=70.258s
Doc_unlabel_0177 items=8 error=False elapsed=63.314s
Doc_unlabel_0178 items=4 error=False elapsed=49.082s
Doc_unlabel_0179 items=9 error=False elapsed=54.311s
Doc_unlabel_0180 items=0 error=False elapsed=590.424s
Doc_unlabel_0181 items=7 error=False elapsed=44.945s
Doc_unlabel_0182 items=11 error=False elapsed=50.17s
Doc_unlabel_0183 items=12 error=False elapsed=76.674s
Doc_unlabel_0184 items=8 error=False elapsed=76.747s
Doc_unlabel_0185 items=9 error=False elapsed=51.822s
Doc_unlabel_0186 items=15 error=False elapsed=66.463s
Doc_unlabel_0187 items=9 error=False elapsed=57.661s
Doc_unlabel_0188 items=13 error=False elapsed=63.62s
Doc_unlabel_0189 items=9 error=False elapsed=59.33s
Doc_unlabel_0190 items=15 error=False elapsed=70.708s
Doc_unlabel_0191 items=6 error=False elapsed=49.461s
Doc_unlabel_0192 items=9 error=False elapsed=69.627s
Doc_unlabel_0193 items=15 error=False elapsed=57.792s
Doc_unlabel_0194 items=11 error=False elapsed=73.811s
Doc_unlabel_0195 items=6 error=False elapsed=56.121s
Doc_unlabel_0196 items=7 error=False elapsed=52.885s
Doc_unlabel_0197 items=12 error=False elapsed=51.379s
Doc_unlabel_0198 items=11 error=False elapsed=76.476s
Doc_unlabel_0199 items=12 error=False elapsed=72.94s
Doc_unlabel_0200 items=7 error=False elapsed=52.873s
Doc_unlabel_0201 items=14 error=False elapsed=58.002s
Doc_unlabel_0202 items=9 error=False elapsed=69.565s
Doc_unlabel_0203 items=13 error=False elapsed=67.428s
Doc_unlabel_0204 items=18 error=False elapsed=82.589s
Doc_unlabel_0205 items=15 error=False elapsed=75.715s
Doc_unlabel_0206 items=8 error=False elapsed=57.176s
Doc_unlabel_0207 items=8 error=False elapsed=50.548s
Doc_unlabel_0208 items=8 error=False elapsed=63.63s
Doc_unlabel_0209 items=7 error=False elapsed=85.851s
Doc_unlabel_0210 items=12 error=False elapsed=92.058s
Doc_unlabel_0211 items=9 error=False elapsed=102.747s
Doc_unlabel_0212 items=8 error=False elapsed=64.553s
Doc_unlabel_0213 items=7 error=False elapsed=62.702s
Doc_unlabel_0214 items=10 error=False elapsed=59.127s
Doc_unlabel_0215 items=6 error=False elapsed=59.605s
Doc_unlabel_0216 items=17 error=False elapsed=60.528s
Doc_unlabel_0217 items=9 error=False elapsed=62.603s
Doc_unlabel_0218 items=8 error=False elapsed=56.162s
Doc_unlabel_0219 items=17 error=False elapsed=73.625s
Doc_unlabel_0220 items=5 error=False elapsed=63.863s
Doc_unlabel_0221 items=10 error=False elapsed=58.175s
Doc_unlabel_0222 items=15 error=False elapsed=78.556s
Doc_unlabel_0223 items=11 error=False elapsed=82.865s
Doc_unlabel_0224 items=12 error=False elapsed=86.639s
Doc_unlabel_0225 items=8 error=False elapsed=62.626s
Doc_unlabel_0226 items=4 error=False elapsed=55.112s
Doc_unlabel_0227 items=15 error=False elapsed=63.205s
Doc_unlabel_0228 items=16 error=False elapsed=73.707s
Doc_unlabel_0229 items=4 error=False elapsed=39.791s
Doc_unlabel_0230 items=15 error=False elapsed=87.925s
Doc_unlabel_0231 items=12 error=False elapsed=59.35s
Doc_unlabel_0232 items=6 error=False elapsed=62.973s
Doc_unlabel_0233 items=6 error=False elapsed=54.293s
Doc_unlabel_0234 items=5 error=False elapsed=47.45s
Doc_unlabel_0235 items=8 error=False elapsed=66.971s
Doc_unlabel_0236 items=10 error=False elapsed=53.854s
Doc_unlabel_0237 items=9 error=False elapsed=64.857s
Doc_unlabel_0238 items=5 error=False elapsed=49.444s
Doc_unlabel_0239 items=4 error=False elapsed=63.362s
Doc_unlabel_0240 items=5 error=False elapsed=66.952s
Doc_unlabel_0241 items=10 error=False elapsed=56.325s
Doc_unlabel_0242 items=4 error=False elapsed=46.529s
Doc_unlabel_0243 items=5 error=False elapsed=56.669s
Doc_unlabel_0244 items=19 error=False elapsed=69.714s
Doc_unlabel_0245 items=7 error=False elapsed=58.375s
Doc_unlabel_0246 items=6 error=False elapsed=43.035s
Doc_unlabel_0247 items=5 error=False elapsed=51.455s
Doc_unlabel_0248 items=17 error=False elapsed=67.313s
Doc_unlabel_0249 items=12 error=False elapsed=60.348s
Doc_unlabel_0250 items=6 error=False elapsed=56.862s
Doc_unlabel_0251 items=10 error=False elapsed=74.761s
Doc_unlabel_0252 items=11 error=False elapsed=67.985s
Doc_unlabel_0253 items=4 error=False elapsed=56.769s
Doc_unlabel_0254 items=6 error=False elapsed=65.437s
Doc_unlabel_0255 items=4 error=False elapsed=56.243s
Doc_unlabel_0256 items=12 error=False elapsed=68.154s
Doc_unlabel_0257 items=8 error=False elapsed=61.039s
Doc_unlabel_0258 items=6 error=False elapsed=71.226s
Doc_unlabel_0259 items=7 error=False elapsed=67.739s
Doc_unlabel_0260 items=12 error=False elapsed=85.71s
Doc_unlabel_0261 items=16 error=False elapsed=61.268s
Doc_unlabel_0262 items=9 error=False elapsed=73.431s
Doc_unlabel_0263 items=6 error=False elapsed=70.82s
Doc_unlabel_0264 items=4 error=False elapsed=64.991s
Doc_unlabel_0265 items=11 error=False elapsed=64.31s
Doc_unlabel_0266 items=14 error=False elapsed=83.193s
Doc_unlabel_0267 items=9 error=False elapsed=48.247s
Doc_unlabel_0268 items=11 error=False elapsed=71.381s
Doc_unlabel_0269 items=11 error=False elapsed=61.005s
Doc_unlabel_0270 items=3 error=False elapsed=44.002s
Doc_unlabel_0271 items=2 error=False elapsed=53.517s
Doc_unlabel_0272 items=8 error=False elapsed=70.275s
Doc_unlabel_0273 items=9 error=False elapsed=65.599s
Doc_unlabel_0274 items=16 error=False elapsed=59.195s
Doc_unlabel_0275 items=7 error=False elapsed=54.021s
Doc_unlabel_0276 items=20 error=False elapsed=77.709s
Doc_unlabel_0277 items=8 error=False elapsed=53.478s
Doc_unlabel_0278 items=2 error=False elapsed=59.519s
Doc_unlabel_0279 items=2 error=False elapsed=48.026s
Doc_unlabel_0280 items=9 error=False elapsed=71.766s
Doc_unlabel_0281 items=5 error=False elapsed=67.01s
Doc_unlabel_0282 items=7 error=False elapsed=64.322s
Doc_unlabel_0283 items=7 error=False elapsed=49.191s
Doc_unlabel_0284 items=12 error=False elapsed=66.241s
Doc_unlabel_0285 items=10 error=False elapsed=70.926s
Doc_unlabel_0286 items=7 error=False elapsed=73.36s
Doc_unlabel_0287 items=8 error=False elapsed=75.273s
Doc_unlabel_0288 items=17 error=False elapsed=75.417s
Doc_unlabel_0289 items=12 error=False elapsed=84.484s
Doc_unlabel_0290 items=9 error=False elapsed=72.753s
Doc_unlabel_0291 items=8 error=False elapsed=72.143s
Doc_unlabel_0292 items=14 error=False elapsed=62.623s
Doc_unlabel_0293 items=5 error=False elapsed=62.264s
Doc_unlabel_0294 items=15 error=False elapsed=63.775s
Doc_unlabel_0295 items=4 error=False elapsed=51.241s
Doc_unlabel_0296 items=5 error=False elapsed=57.893s
Doc_unlabel_0297 items=8 error=False elapsed=59.739s
Doc_unlabel_0298 items=14 error=False elapsed=71.796s
Doc_unlabel_0299 items=12 error=False elapsed=68.451s
Doc_unlabel_0300 items=8 error=False elapsed=47.835s
Doc_unlabel_0301 items=6 error=False elapsed=56.794s
Doc_unlabel_0302 items=12 error=False elapsed=75.523s
Doc_unlabel_0303 items=5 error=False elapsed=69.032s
Doc_unlabel_0304 items=7 error=False elapsed=54.704s
Doc_unlabel_0305 items=7 error=False elapsed=71.91s
Doc_unlabel_0306 items=8 error=False elapsed=74.441s
Doc_unlabel_0307 items=7 error=False elapsed=64.74s
Doc_unlabel_0308 items=3 error=False elapsed=56.194s
Doc_unlabel_0309 items=8 error=False elapsed=49.967s
Doc_unlabel_0310 items=14 error=False elapsed=75.576s
Doc_unlabel_0311 items=10 error=False elapsed=69.554s
Doc_unlabel_0312 items=19 error=False elapsed=75.283s
Doc_unlabel_0313 items=43 error=False elapsed=112.309s
Doc_unlabel_0314 items=15 error=False elapsed=90.526s
Doc_unlabel_0315 items=5 error=False elapsed=59.603s
Doc_unlabel_0316 items=9 error=False elapsed=55.324s
Doc_unlabel_0317 items=7 error=False elapsed=59.453s
Doc_unlabel_0318 items=11 error=False elapsed=72.888s
Doc_unlabel_0319 items=9 error=False elapsed=60.574s
Doc_unlabel_0320 items=9 error=False elapsed=48.755s
Doc_unlabel_0321 items=27 error=False elapsed=86.774s
Doc_unlabel_0322 items=10 error=False elapsed=70.138s
Doc_unlabel_0323 items=6 error=False elapsed=44.773s
Doc_unlabel_0324 items=10 error=False elapsed=59.904s
Doc_unlabel_0325 items=11 error=False elapsed=62.107s
Doc_unlabel_0326 items=6 error=False elapsed=44.277s
Doc_unlabel_0327 items=10 error=False elapsed=56.287s
Doc_unlabel_0328 items=13 error=False elapsed=81.362s
Doc_unlabel_0329 items=19 error=False elapsed=59.315s
Doc_unlabel_0330 items=10 error=False elapsed=60.613s
Doc_unlabel_0331 items=7 error=False elapsed=56.616s
Doc_unlabel_0332 items=8 error=False elapsed=79.359s
Doc_unlabel_0333 items=18 error=False elapsed=79.154s
Doc_unlabel_0334 items=8 error=False elapsed=61.679s
Doc_unlabel_0335 items=11 error=False elapsed=80.097s
Doc_unlabel_0336 items=3 error=False elapsed=59.502s
Doc_unlabel_0337 items=6 error=False elapsed=84.781s
Doc_unlabel_0338 items=3 error=False elapsed=75.318s
Doc_unlabel_0339 items=4 error=False elapsed=50.677s
Doc_unlabel_0340 items=3 error=False elapsed=56.767s
Doc_unlabel_0341 items=9 error=False elapsed=62.119s
Doc_unlabel_0342 items=8 error=False elapsed=59.701s
Doc_unlabel_0343 items=14 error=False elapsed=63.494s
Doc_unlabel_0344 items=12 error=False elapsed=71.874s
Doc_unlabel_0345 items=5 error=False elapsed=50.708s
Doc_unlabel_0346 items=8 error=False elapsed=56.221s
Doc_unlabel_0347 items=7 error=False elapsed=57.911s
Doc_unlabel_0348 items=20 error=False elapsed=70.853s
Doc_unlabel_0349 items=5 error=False elapsed=48.832s
Doc_unlabel_0350 items=9 error=False elapsed=52.842s
Doc_unlabel_0351 items=19 error=False elapsed=78.103s
Doc_unlabel_0352 items=5 error=False elapsed=41.824s
Doc_unlabel_0353 items=5 error=False elapsed=64.719s
Doc_unlabel_0354 items=7 error=False elapsed=70.741s
Doc_unlabel_0355 items=7 error=False elapsed=63.517s
Doc_unlabel_0356 items=8 error=False elapsed=56.721s
Doc_unlabel_0357 items=7 error=False elapsed=54.101s
Doc_unlabel_0358 items=12 error=False elapsed=57.157s
Doc_unlabel_0359 items=5 error=False elapsed=65.511s
Doc_unlabel_0360 items=7 error=False elapsed=64.698s
Doc_unlabel_0361 items=13 error=False elapsed=78.762s
Doc_unlabel_0362 items=10 error=False elapsed=55.774s
Doc_unlabel_0363 items=16 error=False elapsed=66.106s
Doc_unlabel_0364 items=1 error=False elapsed=76.326s
Doc_unlabel_0365 items=7 error=False elapsed=60.161s
Doc_unlabel_0366 items=10 error=False elapsed=76.015s
Doc_unlabel_0367 items=9 error=False elapsed=59.386s
Doc_unlabel_0368 items=18 error=False elapsed=54.42s
Doc_unlabel_0369 items=3 error=False elapsed=53.075s
Doc_unlabel_0370 items=10 error=False elapsed=64.921s
Doc_unlabel_0371 items=9 error=False elapsed=76.552s
Doc_unlabel_0372 items=8 error=False elapsed=58.875s
Doc_unlabel_0373 items=3 error=False elapsed=50.454s
Doc_unlabel_0374 items=7 error=False elapsed=59.059s
Doc_unlabel_0375 items=3 error=False elapsed=51.219s
Doc_unlabel_0376 items=9 error=False elapsed=60.385s
Doc_unlabel_0377 items=5 error=False elapsed=49.947s
Doc_unlabel_0378 items=2 error=False elapsed=72.509s
Doc_unlabel_0379 items=11 error=False elapsed=59.098s
Doc_unlabel_0380 items=4 error=False elapsed=55.567s
Doc_unlabel_0381 items=3 error=False elapsed=41.934s
Doc_unlabel_0382 items=4 error=False elapsed=53.257s
Doc_unlabel_0383 items=11 error=False elapsed=68.918s
Doc_unlabel_0384 items=13 error=False elapsed=65.677s
Doc_unlabel_0385 items=3 error=False elapsed=50.44s
Doc_unlabel_0386 items=7 error=False elapsed=56.954s
Doc_unlabel_0387 items=12 error=False elapsed=63.948s
Doc_unlabel_0388 items=7 error=False elapsed=49.953s
Doc_unlabel_0389 items=10 error=False elapsed=48.633s
Doc_unlabel_0390 items=5 error=False elapsed=50.374s
Doc_unlabel_0391 items=5 error=False elapsed=55.589s
Doc_unlabel_0392 items=0 error=False elapsed=590.513s
Doc_unlabel_0393 items=7 error=False elapsed=68.915s
Doc_unlabel_0394 items=13 error=False elapsed=57.036s
Doc_unlabel_0395 items=9 error=False elapsed=66.289s
Doc_unlabel_0396 items=13 error=False elapsed=53.898s
Doc_unlabel_0397 items=11 error=False elapsed=68.382s
Doc_unlabel_0398 items=16 error=False elapsed=67.403s
Doc_unlabel_0399 items=15 error=False elapsed=65.844s
Doc_unlabel_0400 items=11 error=False elapsed=74.278s
Doc_unlabel_0401 items=9 error=False elapsed=56.076s
Doc_unlabel_0402 items=12 error=False elapsed=72.481s
Doc_unlabel_0403 items=6 error=False elapsed=52.251s
Doc_unlabel_0404 items=15 error=False elapsed=48.961s
Doc_unlabel_0405 items=11 error=False elapsed=68.892s
Doc_unlabel_0406 items=3 error=False elapsed=43.987s
Doc_unlabel_0407 items=8 error=False elapsed=60.816s
Doc_unlabel_0408 items=8 error=False elapsed=56.729s
Doc_unlabel_0409 items=9 error=False elapsed=60.857s
Doc_unlabel_0410 items=9 error=False elapsed=53.546s
Doc_unlabel_0411 items=5 error=False elapsed=52.581s
Doc_unlabel_0412 items=16 error=False elapsed=67.583s
Doc_unlabel_0413 items=17 error=False elapsed=70.952s
Doc_unlabel_0414 items=6 error=False elapsed=56.243s
Doc_unlabel_0415 items=5 error=False elapsed=44.974s
Doc_unlabel_0416 items=14 error=False elapsed=72.133s
Doc_unlabel_0417 items=3 error=False elapsed=56.615s
Doc_unlabel_0418 items=7 error=False elapsed=61.25s
Doc_unlabel_0419 items=22 error=False elapsed=87.817s
Doc_unlabel_0420 items=10 error=False elapsed=61.803s
Doc_unlabel_0421 items=13 error=False elapsed=64.257s
Doc_unlabel_0422 items=12 error=False elapsed=57.504s
Doc_unlabel_0423 items=10 error=False elapsed=68.818s
Doc_unlabel_0424 items=10 error=False elapsed=50.302s
Doc_unlabel_0425 items=13 error=False elapsed=69.299s
Doc_unlabel_0426 items=20 error=False elapsed=63.873s
Doc_unlabel_0427 items=8 error=False elapsed=51.619s
Doc_unlabel_0428 items=3 error=False elapsed=49.251s
Doc_unlabel_0429 items=12 error=False elapsed=66.554s
Doc_unlabel_0430 items=7 error=False elapsed=50.692s
Doc_unlabel_0431 items=16 error=False elapsed=76.105s
Doc_unlabel_0432 items=3 error=False elapsed=52.963s
Doc_unlabel_0433 items=4 error=False elapsed=60.701s
Doc_unlabel_0434 items=6 error=False elapsed=67.592s
Doc_unlabel_0435 items=13 error=False elapsed=71.599s
Doc_unlabel_0436 items=16 error=False elapsed=65.169s
Doc_unlabel_0437 items=12 error=False elapsed=64.272s
Doc_unlabel_0438 items=16 error=False elapsed=62.253s
Doc_unlabel_0439 items=4 error=False elapsed=72.154s
Doc_unlabel_0440 items=3 error=False elapsed=60.187s
Doc_unlabel_0441 items=7 error=False elapsed=71.658s
Doc_unlabel_0442 items=24 error=False elapsed=74.462s
Doc_unlabel_0443 items=9 error=False elapsed=61.507s
Doc_unlabel_0444 items=13 error=False elapsed=60.888s
Doc_unlabel_0445 items=10 error=False elapsed=62.989s
Doc_unlabel_0446 items=7 error=False elapsed=58.707s
Doc_unlabel_0447 items=7 error=False elapsed=76.673s
Doc_unlabel_0448 items=14 error=False elapsed=70.633s
Doc_unlabel_0449 items=12 error=False elapsed=58.032s
Doc_unlabel_0450 items=10 error=False elapsed=62.305s
Doc_unlabel_0451 items=5 error=False elapsed=69.062s
Doc_unlabel_0452 items=4 error=False elapsed=52.776s
Doc_unlabel_0453 items=8 error=False elapsed=77.662s
Doc_unlabel_0454 items=10 error=False elapsed=55.687s
Doc_unlabel_0455 items=7 error=False elapsed=54.354s
Doc_unlabel_0456 items=15 error=False elapsed=85.12s
Doc_unlabel_0457 items=9 error=False elapsed=65.136s
Doc_unlabel_0458 items=9 error=False elapsed=50.581s
Doc_unlabel_0459 items=7 error=False elapsed=53.513s
Doc_unlabel_0460 items=8 error=False elapsed=47.251s
Doc_unlabel_0461 items=9 error=False elapsed=72.977s
Doc_unlabel_0462 items=18 error=False elapsed=61.195s
Doc_unlabel_0463 items=9 error=False elapsed=64.587s
Doc_unlabel_0464 items=9 error=False elapsed=64.571s
Doc_unlabel_0465 items=11 error=False elapsed=81.433s
Doc_unlabel_0466 items=5 error=False elapsed=64.525s
Doc_unlabel_0467 items=4 error=False elapsed=65.474s
Doc_unlabel_0468 items=4 error=False elapsed=47.578s
Doc_unlabel_0469 items=9 error=False elapsed=55.82s
Doc_unlabel_0470 items=11 error=False elapsed=65.241s
Doc_unlabel_0471 items=7 error=False elapsed=52.689s
Doc_unlabel_0472 items=9 error=False elapsed=73.726s
Doc_unlabel_0473 items=4 error=False elapsed=53.133s
Doc_unlabel_0474 items=9 error=False elapsed=46.944s
Doc_unlabel_0475 items=9 error=False elapsed=59.595s
Doc_unlabel_0476 items=10 error=False elapsed=44.435s
Doc_unlabel_0477 items=10 error=False elapsed=69.788s
Doc_unlabel_0478 items=5 error=False elapsed=95.845s
Doc_unlabel_0479 items=5 error=False elapsed=51.356s
Doc_unlabel_0480 items=10 error=False elapsed=57.937s
